Country	id	Beer	Wine	Sprites
India	356	7.5	0.1	92.4
Indonesia	360	18.5	76.4	4.6
Iran	364			
Iraq	368	71	2.4	25.7
Ireland	372	47	28	18.8
Israel	376	54.4	4.7	39.5
Italy	380	25.4	64.8	9.8
Cote d'Ivoire	384	21.9	5	0.2
Jamaica	388	36.3	4.8	54.2
Japan	392	18.2	5.5	40
Kazakhstan	398	30.5	6.5	62.9
Jordan	400	19.9	2.6	75.9
Kenya	404	39.8	1.8	21.4
North Korea	408	2.7	0	97.3
South Korea	410	22.2	1.9	7.1
Kuwait	414			
Kyrgyzstan	417	11.6	2.2	86.2
Laos	418	50.1	0	49.8
Lebanon	422	33.9	15.4	49.2
Lesotho	426	57.4	3.2	10.5
Latvia	428	42.8	11.1	40
Liberia	430	9.4	1.8	88.2
Libya	434			
Lithuania	440	43.6	7.3	37.1
Luxembourg	442	35.4	44.6	20
Madagascar	450	53.8	8.2	38
Malawi	454	8.8	0.8	11.3
Malaysia	458	60.7	21	17.4
Mali	466	15.8	1.2	0
Mauritania	478			
Mexico	484	77.1	2.1	20.4
Mongolia	496	43.6	1.9	54.5
Moldova	498	16.2	56.6	25.2
Montenegro	499	10.8	43.1	44.1
Morocco	504	42.9	39.8	17
Mozambique	508	78.7	8.3	12.4
Oman	512	39.8	2.8	57
Namibia	516	60.2	10.4	13.9
Nepal	524	31	49	20
Netherlands	528	47.8	35.8	16.4
New Caledonia	540			
Vanuatu	548	38.5	25.4	36.1
New Zealand	554	37.4	33.4	28.9
Nicaragua	558	39.7	0.8	59.5
Niger	562	45	13.7	41.4
Nigeria	566	7.9	0.4	0.6
Norway	578	43.9	36.7	16.7
Pakistan	586			
Panama	591	76.9	3.5	19.4
Papua New Guinea	598	95.2	2.7	2.1
Paraguay	600	54.2	17.4	27.3
Peru	604	60.1	8.1	31.8
Philippines	608	27.3	0.4	72
Poland	616	56.1	7.8	36.1
Portugal	620	26.1	61.5	7.7
Guinea-Bissau	624	13.7	31.3	13.7
Timor	626	67.6	32.4	0
Puerto Rico	630			
Qatar	634	25.9	10.2	63.4
Romania	642	55.6	28.1	16.4
Russia	643	39	12.8	38.6
Rwanda	646	14.8	0.2	2.7
Saudi Arabia	682			
Senegal	686	56.4	34.1	8.5
Serbia	688	32	42.5	25.4
Sierra Leone	694	4	1.1	0
Slovakia	703	33.7	20.9	41.9
Vietnam	704	91.5	0.8	7.7
Slovenia	705	41.4	50.6	8
Somalia	706			
South Africa	710	56	18.5	17.8
Zimbabwe	716	62.8	1.3	12
Spain	724	54.2	18	27.8
South Sudan	728			
Sudan	729			
Western Sahara	732			
Suriname	740	44.9	3.5	48.8
Swaziland	748			
Sweden	752	36.4	47.8	14.1
Switzerland	756	32.1	48.1	18.5
Syria	760	11.6	1.1	87.2
Tajikistan	762	37.9	0.7	60.9
Thailand	764	28.3	2.7	68.9
Togo	768	37	16	18.2
Trinidad and Tobago	780	57.9	3.3	37.1
United Arab Emirates	784	10.1	7.7	81.9
Tunisia	788	72.2	23.9	3.8
Turkey	792	57.6	8.6	33.8
Turkmenistan	795	26.8	35.1	38
Uganda	800	11	0.1	3.1
Ukraine	804	42.3	5.4	51.5
North Macedonia	807	35.3	46.6	17.4
Egypt	818	62	4.4	33.1
United Kingdom	826	35	35.7	22.5
Tanzania	834	12.2	0.4	1.6
United States	840	47	18.1	34.9
Burkina Faso	854	18	2.7	5
Uruguay	858	35.2	43.7	21.1
Uzbekistan	860	34.4	8.6	56.9
Venezuela	862	69.2	0.3	29.2
Yemen	887	89.5	0	10.5
Zambia	894	36.4	2.7	0.4
