index,country,WHO region,continent,COVID cases/100k,deaths_per_100k,gov_type,capital city latitude,capital city latitude raw,GDP real growth rate,unemployment rate,gini index,inflation rate,median age,total fertility rate,life expectancy,HDI index,GDP per capita,happiness score,corruption index(cpi),abstainer(lifetime),abstain_lt_m,abstain_lt_f,abstainer(12 month),abstain_12m_m,abstain_12m_f,consumer(12 month),consumer gender ratio(male/female),consumers_12m_m,consumers_12m_f,heavy episodic drinking(30 days),heavy_12m_m,heavy_12m_f,alcohol attributable death,alc_death_m,alc_death_f,years of life lost by alcohol,alcohol consumption,alc_csm_m,alc_csm_f,alcohol consumption(drinkers only),alc_csm_dr_m,alc_csm_dr_f,gender gap index,ggi_polit,ggi_econ,ggi_edu,ggi_health,work hours (unpaid+paid+study),upw_f,upw_m,pc_f,pc_m,leis_f,leis_m,oth_time_f,oth_time_m,pws_f,pws_m,health
27,Burundi,Africa,Africa,429.055,0.126,republic,3.366666667,3 22 S,0,NaN,42.4,16.6,17.1,5.93,63.4,0.431,282,3.775300026,19,52.9,37.8,67.4,68.4,56.3,80,31.6,2.185,43.7,20,15.7,26.5,5.3,5,7.4,2.2,5,7.2,11.9,2.8,22.7,28.4,10.6,0.773,0.345,0.855,0.9115,0.979,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.295212835
155,Sierra Leone,Africa,Africa,97.267,1.567,constitutional democracy,8.483333333,8 29 N,3.7,15,34,18.2,19.1,4.69,61.2,0.447,630,3.926399946,33,63.5,52.1,74.6,69.1,56.9,80.8,30.9,2.244791667,43.1,19.2,12,21,3.4,4.6,7.1,2,5,5.7,9.9,1.6,17.2,21.2,8,0.6635,0.083,0.7155,0.8905,0.966,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.203953966
52,Egypt,Eastern Mediterranean,Africa,503.695,24.232,republic,30.05,30 03 N,4.2,12.2,31.8,23.5,23.9,3.41,70.7,0.701,3830,4.151400089,33,94.3,91.2,97.3,97.2,95.8,98.6,2.8,3,4.2,1.4,0.5,0.9,0.1,1.8,2.6,0.8,1,0.4,0.6,0.1,12.8,15.2,5.5,0.637,0.197,0.412,0.972,0.968,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.596911311
103,Madagascar,Africa,Africa,242.891,5.099,republic,18.91666667,18 55 S,4.2,1.8,41,8.3,19.9,3.95,65.1,0.527,481,4.165599823,25,67,53.8,80,79.1,70,88,20.9,2.5,30,12,8.5,15,2.2,2.8,4.3,1.2,3,2,3.2,0.8,8.8,10.7,4,0.73,0.201,0.7735,0.98,0.9655,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.500617027
58,Ethiopia,Africa,Africa,430.154,6.586,federal republic,9.033333333,9 02 N,10.9,17.5,33,9.9,18,4.91,68.4,0.478,757,4.186200142,38,64.7,51.1,78.1,77.4,67.9,86.8,22.6,2.431818182,32.1,13.2,9.7,16.8,2.7,3.4,5.1,1.4,4,2.4,3.9,0.8,12,14.7,5.5,0.7005,0.399,0.58,0.852,0.971,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.483846247
175,Togo,Africa,Africa,475.049,3.503,republic under transition to multiparty democratic rule,6.116666667,6 07 N,4.4,6.9,46,-0.7,19.9,4.32,64.5,0.51,613,4.187200069,29,69.9,59.7,79.7,74.3,63.5,84.8,25.7,2.401315789,36.5,15.2,8.8,15.7,2.2,2.7,4.1,1.2,4,2.5,3.9,1,11.5,14.2,5.3,0.69,0.19,0.7925,0.7995,0.979,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.342731178
118,Myanmar,South-East Asia,Asia,1163.844,35.817,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69.1,0.579,1350,4.308000088,28,50.1,34.7,64.6,72.9,61.7,83.5,27.1,2.321212121,38.3,16.5,8.9,15.9,2.3,6.6,10.5,2.4,4,5.1,8.4,2,15.4,19.3,7,0.679,0.1135,0.647,0.976,0.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.495443076
164,Sri Lanka,South-East Asia,Asia,3136.708,78.465,republic,6.916666667,6 55 N,3.3,4.4,39.2,6.5,33.1,2.05,77.2,0.779,4160,4.327000141,38,48.3,32.6,62.4,71.3,59.4,82.1,28.7,2.268156425,40.6,17.9,9.7,17.3,2.6,4.6,7.5,1.1,3,4.1,6.8,1.7,13.9,17.7,6.3,0.67,0.162,0.5515,0.988,0.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.792036712
109,Mauritania,Africa,Africa,1363.95,21.442,military junta,18.06666667,18 04 N,3.5,10.2,37,2.3,20.7,3.79,70.5,0.542,1500,4.374599934,29,98,96.9,99.1,99.1,98.6,99.5,0.9,2.8,1.4,0.5,0,0.1,0,0.2,0.4,0.1,1,0,0.1,0,3,3.5,1.3,0.606,0.147,0.44,0.879,0.957,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.425184816
178,Tunisia,Eastern Mediterranean,Africa,9705.635,247.643,republic,36.8,36 48 N,2,15.5,40,5.3,32,2.17,77.5,0.738,3950,4.392199993,44,91.3,85.5,96.8,94.8,91.1,98.4,5.2,5.5625,8.9,1.6,1.1,2.2,0.1,1.4,2.1,0.6,1,2.1,3.8,0.6,33.4,37.2,13.2,0.646,0.214,0.445,0.9565,0.969,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.781156719
34,Chad,Africa,Africa,46.518,1.181,republic,12.1,12 06 N,-3.1,NaN,43.3,-0.9,15.8,5.9,59.9,0.397,659,4.422699928,21,72.7,62.8,82.4,77.6,68.3,86.9,22.4,2.419847328,31.7,13.1,7.2,12.8,1.7,1.8,2.8,0.7,4,1.4,2.3,0.5,6.6,8.1,3.1,0.586,0.16,0.616,0.596,0.97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1087441
181,Uganda,Africa,Africa,370.866,7.936,republic,0.316666667,0 19 N,4.8,9.4,39.5,5.6,15.9,5.62,65.7,0.538,872,4.43200016,27,47.4,32.5,62,63.7,50.9,76.2,36.3,2.06302521,49.1,23.8,19.4,31.9,7.2,6.5,9.4,3,5,15.1,24.6,5.9,25.4,31.9,12.1,0.7205,0.295,0.694,0.911,0.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.378311664
98,Liberia,Africa,Africa,158.61,5.813,republic,6.3,6 18 N,2.5,2.8,32,12.4,17.8,5,65.7,0.48,673,4.557899952,28,63.7,52.4,74.9,69.2,57.3,81.1,30.8,2.259259259,42.7,18.9,12,20.7,3.3,5.2,8.4,1.9,5,6.1,9.7,2.5,17.5,21.5,8,0.701,0.255,0.7605,0.827,0.962,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.392284274
182,Ukraine,Europe,Europe,12201.771,252.677,republic,50.43333333,50 26 N,2.5,9.2,25.5,14.4,40.8,1.55,73.9,0.774,3110,4.56069994,33,12.7,9.8,15,38.2,31.3,43.9,61.8,1.22459893,68.7,56.1,20.2,31.6,9.5,20.5,21.2,19.8,5,8.3,14,3.7,21.1,27.8,9.6,0.7105,0.146,0.721,0.9975,0.978,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.698674381
89,Kenya,Africa,Africa,635.125,10.571,republic,1.283333333,1 17 S,4.9,40,48.5,8,20,2.81,66.1,0.599,1470,4.583000183,31,63.1,49.2,76.9,76.1,66.2,86,23.9,2.414285714,33.8,14,10.3,17.8,2.9,4,6.3,1.1,4,2.8,4.6,1.1,13.1,16.1,6,0.7105,0.1925,0.7415,0.934,0.975,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.536312759
87,Jordan,Eastern Mediterranean,Asia,17122.161,138.408,constitutional monarchy,31.95,31 57 N,2,18.3,39.7,3.3,22.8,3.14,77.9,0.728,4110,4.633399963,49,93.9,90.7,97.2,97,95.5,98.6,3,3.214285714,4.5,1.4,0.6,1,0.1,1,1.4,0.4,1,0.7,1.2,0.2,23.5,27.6,10.1,0.6385,0.0675,0.5375,0.992,0.957,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.777624726
80,Iran (Islamic Republic of),Eastern Mediterranean,Asia,9000.355,172.197,theocratic republic,35.7,35 42 N,3.7,11.8,44.5,9.6,30.8,1.96,77.6,0.785,5200,4.672399998,25,96,93.4,98.7,96.5,94,98.9,3.5,5.454545455,6,1.1,0.1,0.3,0,0.5,0.9,0.1,1,1,1.8,0.3,21.3,23.6,8.5,0.579,0.036,0.359,0.958,0.9635,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.749053836
64,Georgia,Europe,Asia,45264.948,423.17,republic,41.68333333,41 41 N,5,11.8,40.1,6,38.3,1.76,73.3,0.805,4540,4.672599792,56,33.9,19.8,46.3,64.9,51.1,77,35.1,2.126086957,48.9,23,18.5,30.9,6.7,8.1,12,4.2,5,8.3,13.6,3.6,27.3,35.2,12.3,0.7315,0.2465,0.701,1,0.9775,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.694657624
7,Armenia,Europe,Asia,15042.248,293.936,republic,40.16666667,40 10 N,7.5,18.9,31.5,0.9,35.6,1.64,75.6,0.771,4050,4.676799774,49,45.5,29.1,58.7,74,62,83.8,26,2.345679012,38,16.2,11.5,20.8,3.6,6,8.7,3.3,3,5.6,9.1,2.6,21.2,27.2,9.6,0.6855,0.1305,0.662,0.999,0.952,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.77585727
126,Nigeria,Africa,Africa,129.176,1.531,federal republic,9.083333333,9 05 N,0.8,16.5,48.8,16.5,18.3,4.85,63.8,0.534,2510,4.724100113,25,43.1,30.4,56.3,47.4,33,62.3,52.6,1.777188329,67,37.7,27.3,43.1,11.3,7.9,12.1,3.5,5,10.8,17.2,4.4,24.3,31.4,11.7,0.633,0.0435,0.7055,0.816,0.967,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.167835936
107,Mali,Africa,Africa,161.761,3.664,republic,12.65,12 39 N,5.4,7.9,40.1,1.8,15.8,5.9,61.2,0.431,802,4.729300022,30,73.2,63.5,82.9,78.1,68.9,87.2,21.9,2.4296875,31.1,12.8,6.9,12.3,1.6,1.3,2.1,0.5,2,1.3,2.2,0.4,5.4,6.6,2.5,0.596,0.17,0.498,0.757,0.959,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.234981522
26,Burkina Faso,Africa,Africa,103.481,1.851,parliamentary republic,12.36666667,12 22 N,6.4,77,39.5,0.4,17.4,4.77,61.3,0.443,719,4.768700123,40,58.5,47.2,69.3,63.1,48.8,76.8,36.9,2.206896552,51.2,23.2,15.7,27.3,4.8,4.5,6.7,2.4,5,12,20.2,4.2,20.9,26.2,9.9,0.655,0.066,0.7035,0.8745,0.978,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.312833875
96,Lebanon,Eastern Mediterranean,Asia,17880.783,157.294,republic,33.86666667,33 52 N,1.5,9.7,NaN,4.5,31.3,1.72,76.2,0.747,7310,4.771500111,25,90.1,84.9,95.3,93.9,90.8,97,6.1,3.066666667,9.2,3,1.3,2.4,0.2,1.3,1.9,0.6,1,1.7,2.9,0.6,25.4,30,10.9,0.641,0.129,0.4895,0.9735,0.9705,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.788671136
81,Iraq,Eastern Mediterranean,Asia,6124.175,63.057,parliamentary democracy,33.33333333,33 20 N,-2.1,16,NaN,0.1,20.2,3.94,73.3,0.671,4790,4.784800053,21,93.8,90.5,97.1,96.9,95.3,98.5,3.1,3.133333333,4.7,1.5,0.6,1.1,0.1,0.5,0.6,0.3,1,0.4,0.7,0.1,11,13,4.8,0.535,0.136,0.228,0.807,0.968,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.529350698
161,South Africa,Africa,Africa,6813.47,172.703,republic,25.7,25 42 S,1.3,27.5,62.5,5.3,27.4,2.26,64.4,0.707,5640,4.814099789,44,NaN,NaN,NaN,69,56.8,80.6,NaN,#DIV/0!,NaN,NaN,17.7,29.3,6.6,6.4,10,2.2,5,9.5,15.9,3.5,28.9,36.2,13.2,0.7815,0.4975,0.6535,0.996,0.979,420.86209,249.58841,102.93914,694.82947,695.37225,NaN,334.19431,18.698801,13.1774,195.03345,294.16318,0.407034069
62,Gabon,Africa,Africa,2200.308,13.748,republic,0.383333333,0 23 N,0.5,28,42.2,2.7,20.5,3.52,67.5,0.697,7020,4.829299927,30,18.3,9.7,27.1,33.5,21.4,45.9,66.5,1.452865065,78.6,54.1,56.7,72.6,40.5,11.4,17.2,4.8,5,8.7,13.2,4,17.2,22.9,8.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.522574842
13,Bangladesh,South-East Asia,Asia,1236.622,17.872,parliamentary democracy,23.71666667,23 43 N,7.4,4.4,32.1,5.6,27.1,2.15,74.2,0.625,1500,4.832799911,26,92.5,88.9,96.1,97.8,96.5,99,2.2,3.5,3.5,1,0.8,1.4,0.1,0.9,0.9,0.8,1,0,0,0,0.9,1,0.4,0.7165,0.546,0.4225,0.937,0.962,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.694940507
30,Cambodia,Western Pacific,Asia,825.9,18.279,multiparty democracy under a constitutional monarchy,11.55,11 33 N,6.9,0.3,37.9,2.9,25.7,2.47,69.7,0.585,1360,4.848400116,21,45.6,30.3,59.6,69.1,56.8,80.4,30.9,2.204081633,43.2,19.6,10.9,19.5,3.1,8,12.1,3.8,5,6.6,10.9,2.7,20.3,25.7,9.5,0.71,0.1745,0.7405,0.947,0.979,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.587904334
1,Albania,Europe,Europe,11544.096,124.887,parliamentary democracy,41.31666667,41 19 N,3.8,13.8,29,2,33.4,1.52,78.4,0.792,4430,4.882699966,36,25.2,14,35.9,49,35,62.4,51,1.728723404,65,37.6,24.6,39.7,10.1,6.4,8.5,3.7,3,7.2,11.6,2.7,13.8,18.2,6.5,0.7785,0.398,0.761,0.999,0.956,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.846329629
125,Niger,Africa,Africa,39.01,1.297,republic,13.51666667,13 31 N,4.9,0.3,34,2.4,15.5,6.35,62,0.391,514,4.909599781,32,75.2,66.2,84.2,79.8,71.2,88.3,20.2,2.461538462,28.8,11.7,6.2,11,1.4,1,1.4,0.4,2,0.7,1.2,0.2,2.3,2.8,1.1,0.632,0.155,0.6725,0.738,0.964,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.298816353
71,Guinea,Africa,Africa,290.517,3.533,republic,9.5,9 30 N,8.2,2.7,39.4,8.9,19,4.98,60.6,0.473,921,4.949299812,28,73.6,64,83.2,78.4,69.3,87.4,21.6,2.436507937,30.7,12.6,6.8,12,1.6,1.6,2.5,0.7,2,1.1,1.9,0.3,5.4,6.6,2.5,0.6535,0.191,0.7755,0.6835,0.966,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.333655238
152,Senegal,Africa,Africa,530.778,11.754,republic,14.73333333,14 44 N,7.2,48,40.3,1.3,19,4.2,68,0.516,1360,4.980800152,45,74.3,64.4,83.4,78.9,69.6,87.5,21.1,2.432,30.4,12.5,6.4,11.7,1.5,1.6,2.4,0.7,2,0.8,1.4,0.2,3.3,4.1,1.5,0.676,0.3255,0.5185,0.8945,0.967,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.518391907
2,Algeria,Africa,Africa,618.181,15.692,republic,36.75,36 45 N,1.4,11.7,35.3,5.6,28.3,2.66,76,0.746,4160,5.005099773,36,93.5,90.1,97,96.8,95.2,98.5,3.2,3.2,4.8,1.5,0.6,1.1,0.1,1,1.6,0.4,1,0.9,1.6,0.3,25.8,30.6,11,0.6175,0.1105,0.461,0.9405,0.958,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.745418549
189,Venezuela (Bolivarian Republic of),Americas,South America,1925.015,20.495,federal republic,10.48333333,10 29 N,-14,27.1,39,"1,087.50",28.7,2.3,NaN,NaN,NaN,5.053199768,15,27.2,15.5,38.6,62,48.8,74.8,38,2.031746032,51.2,25.2,14.9,25.4,4.7,6.7,10,1.6,4,4.1,6.6,1.8,14.5,18.4,6.6,0.699,0.199,0.617,0.998,0.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.76702553
31,Cameroon,Africa,Africa,467.09,7.402,republic,3.866666667,3 52 N,3.5,4.3,46.5,0.6,18.6,4.58,62.6,0.56,1380,5.084899902,25,60.9,48.5,72.8,60.6,46.2,75,33.8,2.191588785,46.9,21.4,17.6,29.7,5.6,6,9.1,2.7,5,5.7,9,2.4,21,26.5,9.9,0.691,0.1545,0.708,0.9255,0.9755,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.270189553
116,Morocco,Eastern Mediterranean,Africa,3437.062,44.117,constitutional monarchy,34.01666667,34 01 N,4.1,10.2,40.9,0.8,29.7,2.09,73.1,0.68,3370,5.094799995,40,94.6,91.6,97.4,97.4,96.1,98.7,2.6,3,3.9,1.3,0.5,0.9,0.1,0.8,1.2,0.3,1,0.7,1.2,0.2,21.6,25.8,9.3,0.618,0.1355,0.427,0.9505,0.961,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.745096922
25,Bulgaria,Europe,Europe,18514.541,547.207,parliamentary democracy,42.68333333,42 41 N,3.6,6.2,40.2,1.2,43,1.47,73.3,0.813,7990,5.101500034,44,13.9,6.8,20.6,34,20.8,46.1,66,1.469387755,79.2,53.9,38.7,56.6,20.6,5.9,8.7,2.9,4,12.7,20.2,5.7,18.5,25.6,8.8,0.743,0.2625,0.7375,0.993,0.979,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.777776897
179,Turkmenistan,Europe,Asia,0,0,secular democracy,37.95,37 57 N,6.5,11,40.8,8,28.3,2.06,70.6,0.71,7350,5.119100094,19,41.6,26.8,55.6,69.6,57.5,81,30.4,2.236842105,42.5,19,13.3,23,4.1,9.3,12.6,5,5,4.9,8.4,1.7,17.4,21.9,7.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.612448037
36,China,Western Pacific,Asia,657.023,2.053,Communist state,39.91666667,39 55 N,6.9,3.9,46.5,1.6,37.7,1.6,77.4,0.755,9690,5.123899937,42,42.1,29.1,55.6,44.1,31.4,57.4,55.9,1.610328638,68.6,42.6,23.6,37.1,9.2,3.8,6.1,1,2,7.1,10.9,3,12.7,16.7,5.8,0.682,0.1155,0.721,0.9545,0.9375,503,234,91,692,696,211,248,12,15,291,390,0.867248535
170,Turkey,Europe,Asia,20061.448,119.995,republican parliamentary democracy,39.93333333,39 56 N,7.4,10.9,40.2,11.1,31.4,2,78.1,0.817,12000,5.131800175,40,89.1,82.7,95.1,93.1,89,97,6.9,3.666666667,11,3,1.5,2.9,0.2,1.4,2.1,0.5,1,2.1,3.6,0.6,24.8,29,10.4,0.6385,0.123,0.4895,0.974,0.9665,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.781335294
121,Nepal,South-East Asia,Asia,3435.136,41.25,federal democratic republic,27.71666667,27 43 N,7.9,3,32.8,4.5,24.5,2.07,70.8,0.596,1020,5.137199879,33,66.9,53.1,79.1,72.9,61.6,82.9,27.1,2.245614035,38.4,17.1,9.8,17.7,2.8,2.3,3.6,0.9,2,2.1,3.5,0.8,6.9,8.7,3.2,0.6875,0.244,0.6355,0.9055,0.965,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.66887939
66,Ghana,Africa,Africa,550.347,4.702,constitutional democracy,5.55,5 33 N,8.4,11.9,NaN,12.4,21.2,3.96,65.8,0.606,1890,5.147999763,43,69.5,58.9,79.6,74,63.2,84.3,26,2.343949045,36.8,15.7,8.9,15.8,2.3,3.4,5.6,1.2,4,2.8,4.4,1.2,10,12.5,4.6,0.669,0.135,0.603,0.9595,0.978,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.432162255
10,Azerbaijan,Europe,Asia,8129.734,98.41,republic,40.38333333,40 23 N,0.1,5,33.7,13,31.7,1.89,70.8,0.754,5260,5.164800167,30,53.2,37.9,67.7,78.1,68.4,87.2,21.9,2.46875,31.6,12.8,8.2,14.4,2.1,5.9,7.8,3.7,3,4.4,7.5,1.5,3.8,4.7,1.7,0.6875,0.069,0.746,0.9955,0.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.731134057
18,Benin,Africa,Africa,230.797,1.345,republic,6.483333333,6 29 N,5.6,1,36.5,0.1,18.4,4.67,64,0.541,1160,5.21600008,41,69.5,59.3,79.5,73.9,63,84.6,26.1,2.402597403,37,15.4,9.1,16.1,2.3,2.6,4,1.1,4,2.8,4.5,1.1,11.1,13.7,5.1,0.6325,0.0915,0.705,0.7615,0.973,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.328062952
