Name,Alternative name,Alternative name,WHO Region,continent,Country Code,Cases - cumulative total,Cases - cumulative total per 100000 population,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Government Type,Capital City,Latitude of Capital,Longitude of Capital,GDP - real growth rate,GDP - per capita (PPP),Industrial production growth rate,Unemployment rate,Distribution of family income - Gini index,Taxes and other revenues,Budget surplus (+) or deficit (-),Public debt,Inflation rate (consumer prices),Central bank discount rate,Commercial bank prime lending rate,Military expenditures,Median age,Population growth rate,Birth rate,Death rate,Net migration rate,Maternal mortality rate,Infant mortality rate,Life expectancy at birth,Total fertility rate,Obesity - adult prevalence rate,Education expenditures,"Unemployment, youth ages 15-24",year,life_exp,hdi_index,co2_consump,gdp,services,happiness_score,gdp_per_capita,cpi_corruption_score,health,freedom,generosity,government_trust,dystopia_residual,Year,social_support,abstainers lifetime Both sexes,abstainers lifetime Male,abstainers lifetime Female,abstainers 12m Both sexes,abstainers 12m Male,abstainers 12m Female,consumers 12m,consumers 12m Male,consumers 12m Female,heavy both,heavy male,heavy female,alcohol death both,alcohol death Male,alcohol death female,alcohol cancer death Male,alcohol cancer death Female,alcohol liver cirrhosis death Male,alcohol liver cirrhosis death Female,alcohol traffic death Male,alcohol traffic death Female,Alcohol-attributable Years of Life Lost (YLL) score,consumption Both sexes,consumption Male,consumption Female,consumption drinkers Both sexes,consumption drinkers Male,consumption drinkers Female
Ethiopia,,,Africa,Africa,ET,494520,430.154,7572,6.586,federal republic,Addis Ababa,9 02 N,38 42 E,10.9,"$2,200 ",10.5,17.5,33,13.9,-3.2,54.2,9.9,unknown,13.5,0.64,18,2.83,36,7.5,-0.2,401,48.3,63,4.91,4.5,4.7,25.2,2018,68.4,0.478,0.137,757,23.5,4.186200142,0.315125644,38,0.483846247,0.41256687,0.227698103,0.117437035,1.628459215,2020,1.001103282,64.7,51.1,78.1,77.4,67.9,86.8,22.6,32.1,13.2,9.7 [8.8-10.5],16.8 [15.5-18.2],2.7 [2.3-3],3.4,5.1,1.4,2.6,0.8,43.3,23.3,20.3,14.2,4,2.4 [1.5-3.4],3.9 [2.4-5.6],0.8 [0.5-1.2],12 [13.5-],14.7 [16.5-],5.5 [6.2-]
Falkland Islands (Malvinas),,,Americas,,,1923,55211.025,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faroe Islands,,,Europe,,,34658,70926.021,28,57.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,Western Pacific,Oceania,FJ,68375,7627.35,878,97.942,republic,Suva,18 08 S,178 25 E,3,"$9,800 ",2.8,4.5,unknown,29.7,-4,48.9,3.4,1.75,5.74,0.92,29.2,0.56,18.2,6.2,-6.4,34,9.3,73.2,2.37,30.2,3.9,15.4,2018,68.3,0.742,2.41,5940,67.8,,,,,,,,,,,60.2,46.1,74.7,82.3,74.5,90.2,17.7,25.5,9.8,11.1 [10.4-11.7],18.2 [17.3-19.1],3.7 [3.2-4.1],1.7,2.5,0.6,4,0.9,45.5,20.2,24,19.7,1,3.3 [2.9-4.8],5.5 [4.8-7.9],1.1 [1-1.7],15.2 [16.8-],18.5 [20.4-],6.6 [7.3-]
Finland,,,Europe,Europe,FI,1394254,25234.033,7265,131.486,republic,Helsinki,60 10 N,24 56 E,2.8,"$44,500 ",6.2,8.5,27.2,53.1,-0.6,61.3,0.8,1.25,1.61,1.29,42.6,0.33,10.7,10.1,2.8,3,2.5,81.1,1.75,22.2,6.9,20.1,2018,81.8,0.937,8.52,45600,74,7.808700085,1.285189509,85,0.961271405,0.66231674,0.159670442,0.477857262,2.762835026,2020,1.499525905,11.4,5.5,17.1,27.5,16.2,38.3,72.5,83.8,61.7,33.3 [30.8-35.7],50.1 [46.9-53.1],16.2 [14.4-18.1],5.8,9.1,2.5,6.3,3.6,75.7,61.1,43.4,28.7,3,10.8 [8.4-11.7],16.8 [13.2-18.3],5.1 [3.9-5.4],14 [14.9-],19.6 [20.9-],6.8 [7.3-]
France,,,Europe,Europe,FR,36701755,56430.069,155241,238.688,republic,Paris,48 52 N,2 20 E,2.3,"$44,100 ",2,9.4,29.3,53.8,-2.6,96.8,1.2,0,1.29,1.84,41.5,0.37,12.1,9.4,1.1,8,3.2,82,2.06,21.6,5.4,22.3,2018,82.9,0.898,5.2,38300,77.3,6.663799763,1.268129349,69,1.029714227,0.514050901,0.112607703,0.227303237,2.053198338,2020,1.458839178,9.8,4.7,14.6,24.7,14.2,34.4,75.3,85.8,65.6,36 [33.4-38.6],53.7 [50.5-56.8],18.7 [16.7-20.9],5.8,8.9,2.7,8.1,4,77.9,64.4,45.9,39.8,3,12.3 [11.7-15.6],19.2 [18.4-24.5],5.8 [5.4-7.3],15.9 [16.9-],22.6 [24-],7.9 [8.4-]
French Guiana,,,Americas,,,95451,31957.4,411,137.605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,Western Pacific,,,76985,27405.77,649,231.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,Africa,Africa,GA,48973,2200.308,306,13.748,republic,Libreville,0 23 N,9 27 E,0.5,"$18,100 ",1.8,28,42.2,17.6,-1.9,62.7,2.7,3,15,1.53,20.5,2.73,26.5,6.2,7,252,32.9,68,3.52,15,2.7,35.7,2018,67.5,0.697,2.53,7020,58.7,4.829299927,0.988044381,30,0.522574842,0.369459897,0.052013602,0.055804539,1.735027552,2020,1.10639751,18.3,9.7,27.1,33.5,21.4,45.9,66.5,78.6,54.1,56.7 [53.2-59.4],72.6 [70-74.5],40.5 [36.1-44.2],11.4,17.2,4.8,9.9,2.9,73.1,55.9,56.1,50,5,8.7 [7.1-10.3],13.2 [10.5-15.2],4 [3.5-5.1],17.2 [18.4-],22.9 [24.5-],8.4 [9-]
Gambia,"Gambia, The",,Africa,Africa,GM,12586,520.8,372,15.393,republic,Banjul,13 27 N,16 34 W,4.6,"$2,600 ",-0.8,unknown,50.2,20.3,-2.6,88,8,9,29,3,21.3,1.99,28.6,6.9,-1.8,597,58.4,65.4,3.42,10.3,2.1,13.1,2018,66.4,0.487,0.268,693,57.2,,,,,,,,,,,68.5,58.1,78.4,73.3,62.2,83.8,26.7,37.8,16.2,9.5 [8.5-10.5],17 [15.3-18.6],2.5 [2.1-2.9],3.3,5.1,1.3,6.6,2,49.4,25.7,20.6,14.4,4,3.6 [3-4.7],6.1 [5.2-8.3],1.2 [0.9-1.4],13.6 [14.7-],16.9 [18.2-],6.4 [6.9-]
Georgia,,,Europe,Asia,GE,1805698,45264.948,16881,423.17,republic,Tbilisi,41 41 N,44 50 E,5,"$10,700 ",6.7,11.8,40.1,28.7,-3.8,44.9,6,7,11.49,2.3,38.3,0.01,12.1,10.9,-1.1,25,14.7,76.6,1.76,21.7,3.8,30.5,2018,73.3,0.805,2.64,4540,46.9,4.672599792,0.847198069,56,0.694657624,0.485494107,0.047609735,0.174088076,1.69239831,2020,0.7311939,33.9,19.8,46.3,64.9,51.1,77,35.1,48.9,23,18.5 [17.1-19.8],30.9 [28.8-32.8],6.7 [5.9-7.6],8.1,12,4.2,6.4,2.2,77.4,47.3,36.2,24.8,5,8.3 [6.8-9.6],13.6 [11.5-16.2],3.6 [2.7-3.9],27.3 [29.4-],35.2 [38-],12.3 [13.3-]
Germany,,,Europe,Europe,DE,36463485,43843.846,157791,189.729,federal republic,Berlin,52 31 N,13 24 E,2.5,"$50,800 ",3.3,3.8,27,45,1.3,63.9,1.7,0,1.67,1.38,47.4,-0.17,8.6,11.8,1.5,7,3.4,80.9,1.46,22.3,4.8,6.8,2018,81.2,0.946,9.14,43000,71.4,7.075799942,1.314184546,80,0.972114801,0.564274132,0.252037704,0.309362292,2.295249462,2020,1.368543744,7.9,3.7,12,20.6,11.5,29.4,79.4,88.5,70.6,39.7 [37-42.5],57.6 [54.3-60.7],21.8 [19.5-24.3],5.2,7.9,2.7,8,4,78.6,66.4,48,33.7,3,12.9 [9.7-13.2],19.9 [15.1-20.6],6.2 [4.6-6.3],16.3 [17.2-],23.2 [24.5-],8 [8.5-]
Ghana,,,Africa,Africa,GH,171009,550.347,1461,4.702,constitutional democracy,Accra,5 33 N,0 13 W,8.4,"$4,700 ",16.7,11.9,unknown,20.3,-6,71.8,12.4,20,30.35,0.41,21.2,2.16,30.2,6.8,-1.7,308,34.1,67.4,3.96,10.9,3.6,15.2,2018,65.8,0.606,0.615,1890,48.5,5.147999763,0.575862467,43,0.432162255,0.477290064,0.261291206,0.056570381,2.378437281,2020,0.96636796,69.5,58.9,79.6,74,63.2,84.3,26,36.8,15.7,8.9 [7.9-9.9],15.8 [14.2-17.4],2.3 [1.9-2.6],3.4,5.6,1.2,6,1.4,39.6,21.3,18.6,13.8,4,2.8 [2-3.7],4.4 [3.2-5.9],1.2 [0.8-1.5],10 [11.2-],12.5 [13.8-],4.6 [5.1-]
Gibraltar,,,Europe,,,20184,59909.175,110,326.497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,,,Europe,Europe,GR,5404690,50423.634,34309,320.089,parliamentary republic,Athens,37 59 N,23 44 E,1.4,"$27,800 ",3.5,21.5,36.7,48.8,0.8,181.8,1.1,0.05,5.25,2.28,44.9,-0.07,8.3,11.4,2.3,3,4.5,80.8,1.44,24.9,unknown,43.6,2018,81,0.881,7.03,18600,72.5,5.514999866,1.128070116,50,0.979431748,0.173516348,0,0.048844352,2.016179085,2020,1.168973565,15,7.4,22,34.6,21.7,46.7,65.4,78.3,53.3,28.2 [25.9-30.6],44 [40.8-47.2],12.5 [10.9-14.1],4,6,2,5.5,3.5,74.9,56.1,41.9,30,2,10.2 [9-12.6],16.2 [14.3-20.1],4.5 [3.9-5.5],14.8 [16.4-],20.4 [22.7-],7.1 [7.9-]
Greenland,,,Europe,,GL,11971,21086.099,21,36.99,parliamentary democracy within a constitutional monarchy,Nuuk,64 11 N,51 45 W,7.7,"$41,800 ",unknown,9.1,33.9,77.4,5.6,13,0.3,unknown,unknown,unknown,34,-0.04,14.3,8.8,-6,unknown,8.7,72.9,1.97,unknown,unknown,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,Americas,,GD,19631,17446.211,237,210.624,parliamentary democracy,Saint George's,12 03 N,61 45 W,5.1,"$15,100 ",10,24,unknown,25.8,3.2,70.4,0.9,6.5,8.31,unknown,32.1,0.42,15.2,8.2,-2.8,25,9.4,74.8,2,21.3,3.2,unknown,,,,,,,,,,,,,,,,,26.6,15.1,38,50.4,36.4,64.3,49.6,63.6,35.7,25.2 [23-27.4],39.9 [36.9-42.8],10.2 [8.8-11.8],4.6,8.2,1,8,2.6,71.6,43.7,42.9,25.8,3,9.5 [9.9-13.2],15.1 [15.6-21],3.9 [4.1-5.6],17.6 [18.8-],22.9 [24.5-],8.3 [8.9-]
Guadeloupe,,,Americas,,,197918,49464.166,995,248.673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,,,Western Pacific,,,49363,29247.815,407,241.149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,Americas,North America,GT,1154211,6442.503,19949,111.35,constitutional democratic republic,Guatemala City,14 37 N,90 31 W,2.8,"$8,200 ",1.8,2.3,53,10.8,-1.3,24.7,4.4,7.53,13.05,0.35,22.5,1.72,24.6,5,-2.4,95,23.3,71.8,2.87,21.2,2.8,5,2018,72.4,0.657,1.07,4160,49.6,6.398900032,0.753815711,25,0.705952585,0.613146722,0.170611665,0.0983603,2.882723093,2020,1.174267054,38.2,23.9,51.2,72.7,61.4,83.1,27.3,38.6,16.9,9.1 [7.9-10.4],16.5 [14.4-18.7],2.4 [2-3],5.5,8.6,1.5,3.8,1.9,39.2,23,22.3,13.5,4,2.5 [1.8-3.3],4 [3-5.4],1 [0.7-1.3],8.5 [9.4-],10.7 [11.8-],4 [4.4-]
Guernsey,,,Europe,,,32900,51033.071,65,100.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,,,Africa,Africa,GN,38153,290.517,464,3.533,republic,Conakry,9 30 N,13 42 W,8.2,"$2,200 ",11,2.7,39.4,16.6,-0.5,37.9,8.9,22.25,22.2,2.47,19,2.75,36.4,8.9,0,576,55.3,62.1,4.98,7.7,2.2,1,2018,60.6,0.473,0.256,921,32.9,4.949299812,0.390007734,28,0.333655238,0.371878058,0.249490842,0.112204559,2.740729809,2020,0.75136596,73.6,64,83.2,78.4,69.3,87.4,21.6,30.7,12.6,6.8 [6-7.6],12 [10.7-13.4],1.6 [1.3-1.9],1.6,2.5,0.7,1.9,1,21.3,13.4,13.8,9.3,2,1.1 [0.5-1.8],1.9 [0.8-3],0.3 [0.2-0.6],5.4 [6.3-],6.6 [7.7-],2.5 [2.9-]
Guinea-Bissau,,,Africa,Africa,GW,8848,449.593,176,8.943,republic,Bissau,11 51 N,15 35 W,5.9,"$1,900 ",2.5,unknown,unknown,18.2,-1.3,53.9,1.1,4.25,5.5,1.64,17.8,2.48,37.3,8.5,-4,667,54.8,61.4,4.81,9.5,2.1,unknown,2018,60.3,0.472,0.181,638,30.3,,,,,,,,,,,66.1,55.1,76.8,71.2,59.5,82.5,28.8,40.5,17.5,10.8 [9.7-11.9],18.9 [17.1-20.6],2.9 [2.5-3.3],4,6.4,1.5,5.4,1.7,55,29.1,22.1,15.8,5,5.4 [4.2-6.7],9 [7-11.2],2 [1.5-2.4],15.6 [17.3-],19.2 [21.3-],7.2 [7.9-]
Guyana,,,Americas,South America,GY,71584,9100.988,1285,163.371,republic,Georgetown,6 48 N,58 09 W,2.1,"$8,100 ",-5,11.1,44.6,28.1,-4.5,52.2,2,5.5,13,1.69,26.7,0.48,15.4,7.4,-3.2,667,29.5,68.9,1.97,20.2,6.3,21.6,2018,67.1,0.68,3.12,6180,59.2,,,,,,,,,,,36.3,22.6,50,60.9,47.8,74.1,39.1,52.2,25.9,17.6 [15.9-19.4],29.2 [26.6-31.7],5.9 [5-6.9],6.4,10.2,1.6,4.9,1.6,64.8,40.5,35.1,21.3,5,6.9 [5.8-8.1],11 [9.2-13],2.7 [2.3-3.3],15.1 [16.2-],19.1 [20.5-],7 [7.5-]
Haiti,,,Americas,North America,HT,33837,296.75,860,7.542,republic,Port-au-Prince,18 32 N,72 20 W,1.2,"$1,800 ",0.9,40.6,60.8,18.2,-1,31.1,14.7,unknown,13.1,unknown,23.3,1.31,22.6,7.5,-2,480,45.4,64.6,2.66,22.7,2.4,unknown,2018,63.5,0.508,0.27,1410,64.4,3.720799923,0.284734428,18,0.37436673,0.169297516,0.463909656,0.161935672,1.619916916,2020,0.646671355,40.4,25.9,54.2,64.9,52.1,77.1,35.1,47.9,22.9,14.9 [13.3-16.5],25.6 [23.1-28],4.8 [4-5.6],4.4,6.8,1.5,4.1,1.5,60.8,35.2,31.3,21.5,4,2.7 [2.2-3.4],4.5 [3.6-5.6],1.1 [0.8-1.3],15.7 [16.3-],19.9 [20.7-],7.4 [7.6-]
Holy See,,,Europe,,,26,3213.844,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,Americas,North America,HN,458023,4624.343,11043,111.494,democratic constitutional republic,Tegucigalpa,14 06 N,87 13 W,4.8,"$5,600 ",4.5,5.6,47.1,20.3,-2.7,39.5,3.9,6.25,19.26,1.71,23.3,1.56,22,5.3,-1.1,65,16.7,71.3,2.61,21.4,6,7.9,2018,71.9,0.633,1.04,2480,49.1,5.953199863,0.598763585,24,0.791989982,0.568148077,0.256528199,0.086807102,2.464295387,2020,1.186664104,34.8,21.4,48,70.2,58.7,81.5,29.8,41.3,18.5,10.7 [9.3-12.1],18.6 [16.3-20.9],2.9 [2.4-3.5],5.2,7.8,2.2,3.3,1.4,51.5,27.9,24.9,18.9,3,3.8 [2.9-4.8],6.1 [4.7-7.8],1.5 [1.1-1.9],12.9 [14-],16 [17.5-],5.9 [6.5-]
Hungary,,,Europe,Europe,HU,2166352,22174.587,48287,494.261,parliamentary democracy,Budapest,47 30 N,19 05 E,4,"$29,600 ",7.4,4.2,28.2,44.5,-2,73.6,2.4,0.9,1.48,1.21,42.7,-0.26,8.9,12.8,1.3,12,4.8,76.3,1.45,26.4,4.7,10.7,2018,76.3,0.85,5.14,14400,62.7,6.000400066,1.164307117,44,0.806793869,0.386401802,0.070491239,0.027548173,2.121845722,2020,1.423009396,14.2,6.8,20.7,33.4,20.1,45.2,66.6,79.9,54.8,37.9 [34.7-40.9],56.1 [52.4-59.5],20.2 [17.5-23.1],6.9,10.8,3.2,11.4,4,77.5,60.7,46.6,32.3,4,11.4 [11.8-15.2],18.1 [19.2-24.7],5.4 [5.1-6.8],16.6 [17.7-],23.2 [24.7-],8 [8.5-]
Iceland,,,Europe,Europe,IS,207171,56894.165,219,60.143,constitutional republic,Reykjavik,64 09 N,21 57 W,4,"$52,200 ",2.4,2.8,28,42.4,1.5,40,1.8,5.4,7.26,0.3,36.7,1.08,13.6,6.5,3.7,4,2.1,83.1,1.99,21.9,7.5,7.9,2018,84,0.946,10.8,57700,79.2,7.504499912,1.326501608,75,1.000843406,0.661980748,0.362330228,0.144540772,2.460688114,2020,1.547567487,12.7,6.3,19.1,28.5,17.4,39.7,71.5,82.6,60.3,30.6 [28.2-33],46.7 [43.6-49.8],14.1 [12.5-15.9],3.8,5.6,2,5.5,2.3,72.8,57.5,38.6,28.2,2,9.1 [7.8-10.8],13.9 [11.9-16.4],4.3 [3.7-5.2],11.8 [12.6-],16.4 [17.5-],5.8 [6.2-]
India,,,South-East Asia,Asia,IN,44672347,3237.116,530620,38.451,federal republic,New Delhi,28 36 N,77 12 E,6.7,"$7,200 ",5.5,8.5,35.2,9.2,-3.5,71.2,3.6,6,9.51,2.42,28.1,1.14,18.7,7.3,0,145,37.8,69.1,2.4,3.9,3.8,10.1,2018,70.5,0.642,1.96,1920,31.7,3.573299885,0.730576158,40,0.54057014,0.581142247,0.237072483,0.105587982,0.734130859,2020,0.644198656,53.5,39.1,68.8,61.2,48.6,74.6,38.8,51.4,25.4,17 [15.1-18.9],27.8 [24.9-30.5],5.4 [4.5-6.5],5.4,8.6,1.5,6.5,0.8,60,33.3,33.7,18.3,4,5.5 [4.1-7],9 [6.6-11.1],1.9 [1.5-2.5],13.7 [15.4-],17.2 [19.3-],6.2 [7-]
Indonesia,,,South-East Asia,Asia,ID,6664844,2436.661,159830,58.434,republic,Jakarta,6 10 S,106 49 E,5.1,"$12,400 ",4.1,5.4,36.8,13,-2.7,28.8,3.8,6.37,11.07,0.72,30.5,0.83,15.9,6.5,-1.1,177,21.9,73.2,2.08,6.9,3.6,15.6,2018,71.1,0.712,2.3,3730,48.1,5.285600185,0.891720712,37,0.610437036,0.568161428,0.542646527,0.038278613,1.479573488,2020,1.154800892,57.2,42.6,71.8,77.3,67.7,86.8,22.7,32.3,13.2,6.4 [5.6-7.1],11.3 [10-12.6],1.4 [1.2-1.7],1.7,2.2,1.1,1.7,0.5,16.5,15.2,12.7,8.9,1,0.6 [0.2-1.2],1 [0.3-2],0.2 [0.1-0.4],3.1 [3.6-],3.9 [4.4-],1.4 [1.6-]
Iran (Islamic Republic of),Iran,,Eastern Mediterranean,Asia,IR,7559664,9000.355,144633,172.197,theocratic republic,Tehran,35 42 N,51 25 E,3.7,"$20,100 ",3,11.8,44.5,17.3,-2.3,39.5,9.6,unknown,18,2.67,30.8,1.19,17.4,5.3,-0.2,16,15.5,74.2,1.96,25.8,4,28.4,2018,77.6,0.785,8.81,5200,50.3,4.672399998,1.029322505,25,0.749053836,0.301195472,0.27697894,0.142651513,1.286969423,2020,0.886271179,96,93.4,98.7,96.5,94,98.9,3.5,6,1.1,0.1 [0.1-0.2],0.3 [0.2-0.4],0 [0-0],0.5,0.9,0.1,0.7,0.1,17.2,2.7,3.3,1.6,1,1 [0.4-1.8],1.8 [0.6-3.2],0.3 [0.1-0.5],21.3 [25.9-],23.6 [28.7-],8.5 [10.3-]
Iraq,,,Eastern Mediterranean,Asia,IQ,2463296,6124.175,25363,63.057,parliamentary democracy,Baghdad,33 20 N,44 24 E,-2.1,"$16,700 ",0.7,16,unknown,35.7,-4.2,59.7,0.1,6,12.7,2.73,20.2,2.5,30,3.8,-1.1,79,37.5,74.9,3.94,30.4,unknown,25.6,2018,73.3,0.671,5.32,4790,58.4,4.784800053,0.982018709,21,0.529350698,0.283588052,0.153002068,0.073164992,1.752173662,2020,1.011466622,93.8,90.5,97.1,96.9,95.3,98.5,3.1,4.7,1.5,0.6 [0.4-0.7],1.1 [0.8-1.4],0.1 [0.1-0.1],0.5,0.6,0.3,0.7,0.1,15.2,4.6,1.9,1.2,1,0.4 [0.2-0.8],0.7 [0.3-1.3],0.1 [0.1-0.2],11 [12.5-],13 [14.7-],4.8 [5.5-]
Ireland,,,Europe,Europe,IE,1678827,33817.047,8170,164.57,republic; parliamentary democracy,Dublin,53 19 N,6 14 W,7.2,"$73,200 ",7.8,6.7,31.3,26,-0.3,68.6,0.3,0.05,4.08,0.33,37.1,1.11,13.8,6.6,4,5,3.6,81,1.96,25.3,3.7,14.4,2018,82,0.951,8.09,72600,76.4,7.093699932,1.446886778,72,0.975670695,0.587779939,0.295426995,0.373433262,1.943878174,2020,1.470596433,7.4,3.5,11.2,18.7,10.5,26.9,81.3,89.5,73.1,40.5 [37.7-43.3],58.5 [55.2-61.6],22.6 [20.2-25.1],5.1,7.3,2.8,8.4,4.6,78.2,67,50.8,37.7,2,12.9 [10.5-14],19.6 [16.1-21.5],6.4 [5.1-6.8],14.5 [15.4-],21 [22.1-],7.3 [7.7-]
Isle of Man,,,Europe,,,38008,44698.466,116,136.419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,Europe,Asia,IL,4720211,54533.98,11846,136.86,parliamentary democracy,Jerusalem,31 46 N,35 14 E,3.3,"$36,400 ",3.5,4.2,42.8,26.5,-2,60.9,0.2,0.1,3.5,5.1,30.1,1.49,17.9,5.2,2.1,3,3.4,82.7,2.63,26.1,5.8,7.3,2018,83,0.916,7.67,37600,81.8,7.128600121,1.216463685,60,1.008052945,0.420699477,0.266861796,0.09989845,2.713358402,2020,1.403256774,24.4,13.4,34.9,45,31.1,58.4,55,68.9,41.6,18.4 [16.5-20.3],30.4 [27.5-33.4],6.4 [5.5-7.4],2.5,4.2,0.8,4.2,1,52.8,36.9,32.6,24.1,1,4.2 [3.2-5.2],6.6 [5.1-8.2],1.9 [1.5-2.3],6.4 [7-],8.6 [9.3-],3.1 [3.3-]
Italy,,,Europe,Europe,IT,24260660,40677.489,181098,303.644,republic,Rome,41 54 N,12 29 E,1.5,"$38,200 ",2.1,11.3,31.9,46.6,-2.3,131.8,1.3,0.25,3,1.22,45.8,0.16,8.5,10.5,3.6,2,3.2,82.4,1.45,19.9,3.8,34.7,2018,83.1,0.89,5.58,31600,70.1,6.38740015,1.236396074,53,1.022504926,0.321305573,0.170266211,0.040145598,2.249505997,2020,1.347296,27.4,15.1,38.8,32.2,18.8,45.6,67.8,81.2,54.4,25 [22.9-27.2],39.7 [36.7-42.7],10.3 [9.1-11.7],3.6,5.7,1.7,6.1,2.5,67.6,48.7,36.1,23.9,1,7.8 [6.9-9.4],12.5 [11.1-15.1],3.5 [3-4.1],11.3 [11.9-],15.6 [16.4-],5.4 [5.7-]
Jamaica,,,Americas,North America,JM,152517,5150.571,3399,114.786,constitutional parliamentary democracy,Kingston,18 00 N,76 48 W,0.7,"$9,200 ",0.9,12.2,35,29.7,0.5,101,4.4,3.25,14.91,1.35,28.6,-0.05,16.5,7.6,-9.4,80,12.4,74.5,2.09,24.7,5.4,24.1,2018,76.3,0.734,2.79,5040,67.7,5.889800072,0.779058397,44,0.788434088,0.553124607,0.116268493,0.030147785,2.214436531,2020,1.408289194,40.8,26.3,54.9,65.1,52.6,77.4,34.9,47.4,22.6,14.7 [13.1-16.3],25 [22.5-27.4],4.6 [3.9-5.4],2.7,4.5,0.6,2.3,1,48.7,28.7,26.7,17.4,2,4.2 [4.1-5.9],6.8 [6.5-9.6],1.7 [1.6-2.4],11.3 [12.3-],14.3 [15.5-],5.2 [5.6-]
Japan,,,Western Pacific,Asia,JP,24654770,19493.564,49434,39.086,a parliamentary government with a constitutional monarchy,Tokyo,35 41 N,139 45 E,1.7,"$42,900 ",1.4,2.9,37.9,35.2,-3.5,237.6,0.5,0.3,1.48,0.93,47.7,-0.24,7.5,9.9,0,5,2,85.5,1.42,4.3,3.5,3.6,2018,84.8,0.917,9.14,36200,72.1,5.870800018,1.26672411,74,1.072881341,0.495465875,0.03571178,0.181439638,1.486200333,2020,1.332338691,9.1,4.3,13.7,43,28.7,56.3,57,71.3,43.7,28.7 [24.5-33],44.7 [38.9-50],12.6 [9.8-15.9],4.2,6.4,1.9,6.9,2.4,67.8,48.6,32.7,17.5,2,8 [6.7-9.2],12.3 [10.4-14.4],3.9 [3.2-4.4],13.1 [13.9-],17.8 [18.9-],6.2 [6.6-]
Jersey,,,Europe,,,62826,58282.311,142,131.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,,,Eastern Mediterranean,Asia,JO,1746997,17122.161,14122,138.408,constitutional monarchy,Amman,31 57 N,35 56 E,2,"$9,200 ",1.4,18.3,39.7,23.6,-5.1,95.9,3.3,3.75,8.65,4.68,22.8,2.02,23.6,3.4,0,46,13.7,75,3.14,35.5,3.6,35.6,2018,77.9,0.728,2.42,4110,73.2,4.633399963,0.785179198,49,0.777624726,0.424855083,0.091494769,0.151878625,1.262258053,2020,1.140118599,93.9,90.7,97.2,97,95.5,98.6,3,4.5,1.4,0.6 [0.4-0.7],1 [0.8-1.3],0.1 [0.1-0.1],1,1.4,0.4,1.5,0.2,21.5,6.4,2.6,1.8,1,0.7 [0.4-1.4],1.2 [0.7-2.4],0.2 [0.1-0.4],23.5 [26.9-],27.6 [31.6-],10.1 [11.6-]
Kazakhstan,,,Europe,Asia,KZ,1487056,7919.685,19053,101.471,"republic; authoritarian presidential rule,  with little power outside the executive branch",Astana,51 10 N,71 25 E,4,"$26,300 ",5.8,5,26.3,22.3,-1.8,20.8,7.4,11,14.17,0.95,30.9,0.98,17.5,8.2,0.4,10,19,71.4,2.22,21,2.8,3.9,2018,71.7,0.819,17.6,11100,63.4,6.057899952,1.122594237,38,0.698788941,0.497432142,0.153713793,0.110463686,2.021602631,2020,1.453267694,31.5,18.2,43.5,60.1,45.7,72.8,39.9,54.3,27.2,19.9 [18.3-21.5],33.3 [31-35.5],7.5 [6.6-8.5],10.3,14.6,5.5,10.3,3.1,73.9,45.2,34.2,31.5,5,4.8 [3.8-5.7],7.9 [6.3-9.7],1.9 [1.4-2.2],19.4 [21-],25.1 [27.1-],8.9 [9.6-]
